Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,158.154814,-93.709652,90.0,top
C1,CL21A226MAQNNNE,C0805,112.154814,-100.709652,180.0,top
C10,CC0805KRX7R9BB104,C0805,157.654814,-99.709652,0.0,top
C11,CL21A226MAQNNNE,C0805,125.154814,-85.209652,0.0,top
C12,CC0805KRX7R9BB104,C0805,117.154814,-89.709652,180.0,top
C13,CL21A106KAYNNNE,C0805,125.154814,-92.209652,180.0,top
C2,CC0805KRX7R9BB104,C0805,157.654814,-87.209652,0.0,top
C4,CC0805KRX7R9BB104,C0805,162.154814,-86.709652,180.0,top
C5,CL21B105KBFNNNE,C0805,117.154814,-92.209652,180.0,top
C6,CL21A106KAYNNNE,C0805,117.654814,-104.0,180.0,top
C8,CC0805KRX7R9BB104,C0805,125.154814,-87.709652,0.0,top
C9,CL21A106KAYNNNE,C0805,117.654814,-101.5,180.0,top
D1,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,129.5,-130.0,90.0,top
D10,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,138.0,-131.0,90.0,top
D11,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,140.0,-130.672593,90.0,top
D12,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,142.0,-130.0,90.0,top
D13,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,158.0,-102.5,0.0,top
D2,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,117.419477,-84.449682,90.0,top
D20,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,127.5,-130.0,90.0,top
D21,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,167.154814,-92.709652,0.0,top
D22,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,167.154814,-90.209652,0.0,top
D23,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,121.154814,-89.209652,90.0,top
D24,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,117.0,-123.5,90.0,top
D25,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,125.5,-130.0,90.0,top
D26,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,123.5,-130.0,90.0,top
D27,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,121.5,-130.0,90.0,top
D28,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,119.5,-130.0,90.0,top
D29,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,117.5,-130.5,90.0,top
D3,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,115.0,-123.5,90.0,top
D4,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,113.0,-123.5,90.0,top
D5,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,111.0,-123.5,90.0,top
D6,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,109.0,-123.5,90.0,top
D7,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,132.0,-130.0,90.0,top
D8,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,134.0,-131.5,90.0,top
D9,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,136.0,-131.5,90.0,top
LED1,FC-2012HRK-620D,LED0805-R-RD,111.419477,-83.499974,-90.0,top
R1,0805W8F1001T5E,R0805,116.654814,-97.709652,180.0,top
R10,0805W8F1001T5E,R0805,116.654814,-95.209652,180.0,top
R2,0805W8F1002T5E,R0805,110.449962,-112.0,90.0,top
R3,0805W8F1002T5E,R0805,110.449962,-116.0,90.0,top
R4,0805W8F4701T5E,R0805,152.154814,-91.0,0.0,top
R5,0805W8F4701T5E,R0805,152.0,-87.209652,0.0,top
R7,0402WGF1002TCE,R0402,125.654814,-89.709652,180.0,top
R9,0805W8F3301T5E,R0805,126.0,-96.5,90.0,top
U1,MCP23008-E/ML,QFN-20_L4.0-W4.0-P0.50-BL-EP2.7,149.0,-127.0,180.0,top
U10,HC-FPC-05-09-10RLTAG,FPC-SMD_10P-P0.50_HC-FPC-05-09-10RLTAG,122.750064,-125.249936,0.0,top
U11,HC-FPC-05-09-10RLTAG,FPC-SMD_10P-P0.50_HC-FPC-05-09-10RLTAG,143.5,-111.5,90.0,top
U12,ESP32-WROOM-32E(4MB),WIFI-SMD_ESP32-WROOM-32E,138.91935,-93.999689,-90.0,top
U13,AFC42-S14FMA-1H,CONN-SMD_14P-P0.50_L3.1-W9.0,135.250064,-125.250064,180.0,top
U14,TC1109DE26048,SW-TH_3P-L4.5-W4.5-P1.8-LS3.0,154.999873,-73.42507,180.0,top
U15,TC1109DE26048,SW-TH_3P-L4.5-W4.5-P1.8-LS3.0,162.499873,-73.42507,180.0,top
U2,CH340C_C7464026,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,109.654814,-93.209652,90.0,top
U3,SS8050_C2150,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,107.0,-112.0,180.0,top
U4,MCP23008-E/ML,QFN-20_L4.0-W4.0-P0.50-BL-EP2.7,112.0,-128.5,90.0,top
U5,MCP42010T-I/SL,SOIC-14_L10.0-W5.5-P1.27-LS7.8-BL,161.0,-110.0,-90.0,top
U6,HC-FPC-05-09-10RLTAG,FPC-SMD_10P-P0.50_HC-FPC-05-09-10RLTAG,116.750064,-113.0,-90.0,top
U7,IPFP051A30472R5,FPC-SMD_4P-P0.50_C9900013912,143.247523,-118.725044,-90.0,top
U8,SS8050_C2150,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,106.949962,-115.949962,180.0,top
U9,AMS1117-3_3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,109.6948,-106.209652,0.0,top
USB1,MICROXNJ,MICRO-USB-SMD_MICROXNJ,121.794636,-80.996075,180.0,top
