Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Analog1,5034801000,FPC-SMD_5034801000,125.494471,-112.200254,90.0,top
BOOT1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,158.154814,-93.709652,90.0,top
C1,CL21A226MAQNNNE,C0805,112.154814,-100.709652,180.0,top
C10,CC0805KRX7R9BB104,C0805,157.654814,-99.709652,0.0,top
C11,CL21A226MAQNNNE,C0805,125.154814,-85.209652,0.0,top
C12,CC0805KRX7R9BB104,C0805,117.154814,-89.709652,180.0,top
C13,CL21A106KAYNNNE,C0805,125.154814,-92.209652,180.0,top
C2,CC0805KRX7R9BB104,C0805,157.654814,-87.209652,0.0,top
C4,CC0805KRX7R9BB104,C0805,162.154814,-86.709652,180.0,top
C5,CL21B105KBFNNNE,C0805,117.154814,-92.209652,180.0,top
C6,CL21A106KAYNNNE,C0805,117.654814,-106.209652,180.0,top
C8,CC0805KRX7R9BB104,C0805,125.154814,-87.709652,0.0,top
C9,CL21A106KAYNNNE,C0805,117.654814,-103.709652,180.0,top
Center1,5034801000,FPC-SMD_5034801000,151.07982,-111.209652,-90.0,top
Center2,5034801000,FPC-SMD_5034801000,151.07982,-118.709652,-90.0,top
D1,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,158.327407,-107.395174,180.0,top
D10,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,144.669541,-130.277089,90.0,top
D11,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,146.669541,-130.277089,90.0,top
D12,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,148.669541,-130.277089,90.0,top
D2,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,117.419477,-84.449682,90.0,top
D20,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,158.327407,-110.0,180.0,top
D21,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,167.154814,-92.709652,0.0,top
D22,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,167.154814,-90.209652,0.0,top
D23,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,121.154814,-89.209652,90.0,top
D24,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,136.669541,-130.277089,90.0,top
D25,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,158.327407,-112.604826,180.0,top
D26,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,158.327407,-115.209652,180.0,top
D27,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,158.327407,-117.814478,180.0,top
D28,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,158.327407,-120.419304,180.0,top
D29,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,158.327407,-123.02413,180.0,top
D3,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,134.669541,-129.949682,90.0,top
D4,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,132.669541,-129.949682,90.0,top
D5,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,130.669541,-129.777089,90.0,top
D6,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,127.919477,-129.777089,90.0,top
D7,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,138.669541,-130.277089,90.0,top
D8,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,140.669541,-130.277089,90.0,top
D9,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,142.669541,-130.277089,90.0,top
LED1,FC-2012HRK-620D,LED0805-R-RD,111.419477,-83.499974,-90.0,top
Left1,5034801000,FPC-SMD_5034801000,132.169541,-124.374688,180.0,top
MODE1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,155.005005,-80.909677,90.0,top
R1,0805W8F1001T5E,R0805,116.654814,-97.709652,180.0,top
R10,0805W8F1001T5E,R0805,116.654814,-95.209652,180.0,top
R2,0805W8F1002T5E,R0805,108.154814,-112.709652,0.0,top
R3,0805W8F1002T5E,R0805,108.154814,-117.709652,0.0,top
R5,0805W8F4701T5E,R0805,152.154814,-90.709652,0.0,top
R6,0805W8F4701T5E,R0805,152.154814,-87.209652,0.0,top
R7,0402WGF1002TCE,R0402,125.654814,-89.709652,180.0,top
R9,0805W8F3301T5E,R0805,107.419477,-84.949682,-90.0,top
RESET1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,162.154814,-80.709652,-90.0,top
Right1,AFC42-S14FMA-1H,CONN-SMD_14P-P0.50_L3.1-W9.0,143.169413,-124.699746,180.0,top
U1,MCP23008-E/ML,QFN-20_L4.0-W4.0-P0.50-BL-EP2.7,155.154814,-128.209652,180.0,top
U2,CH340C_C7464026,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,109.654814,-93.209652,90.0,top
U3,SS8050_C2150,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,112.654814,-113.75969,180.0,top
U4,MCP23008-E/ML,QFN-20_L4.0-W4.0-P0.50-BL-EP2.7,167.419477,-120.949682,0.0,top
U5,MCP42010T-I/SL,SOIC-14_L10.0-W5.5-P1.27-LS7.8-BL,119.154814,-126.709652,0.0,top
U8,SS8050_C2150,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,112.654814,-118.75969,180.0,top
U9,AMS1117-3_3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,109.6948,-106.209652,0.0,top
USB1,MICROXNJ,MICRO-USB-SMD_MICROXNJ,121.794636,-80.996075,180.0,top
